编号	城市	AQI指数	首要污染物	日期	空气质量级别
1	北京市	31	—	2020-01-13	优
2	北京市	42	—	2020-01-12	优
3	北京市	32	—	2020-01-11	优
4	北京市	43	—	2020-01-10	优
5	北京市	63	二氧化氮	2020-01-09	良
6	北京市	40	—	2020-01-08	优
7	北京市	30	—	2020-01-07	优
8	北京市	75	细颗粒物(PM2.5)	2020-01-06	良
9	北京市	83	"二氧化氮,细颗粒物(PM2.5)"	2020-01-05	良
10	北京市	74	二氧化氮	2020-01-04	良
11	北京市	82	二氧化氮	2020-01-03	良
12	北京市	80	二氧化氮	2020-01-02	良
13	北京市	62	二氧化氮	2020-01-01	良
14	北京市	48	—	2019-12-31	优
15	北京市	35	—	2019-12-30	优
16	北京市	118	细颗粒物(PM2.5)	2019-12-29	轻度污染
17	北京市	103	细颗粒物(PM2.5)	2019-12-28	轻度污染
18	北京市	75	二氧化氮	2019-12-27	良
19	北京市	47	—	2019-12-26	优
20	北京市	79	细颗粒物(PM2.5)	2019-12-25	良
21	北京市	109	细颗粒物(PM2.5)	2019-12-24	轻度污染
22	北京市	67	细颗粒物(PM2.5)	2019-12-23	良
23	北京市	87	二氧化氮	2019-12-22	良
24	北京市	75	二氧化氮	2019-12-21	良
25	北京市	60	二氧化氮	2019-12-20	良
26	北京市	30	—	2019-12-19	优
27	北京市	48	—	2019-12-18	优
28	北京市	28	—	2019-12-17	优
29	北京市	92	细颗粒物(PM2.5)	2019-12-16	良
30	北京市	85	二氧化氮	2019-12-15	良
31	北京市	57	二氧化氮	2019-12-14	良
32	北京市	50	—	2019-12-13	优
33	北京市	59	二氧化氮	2019-12-12	良
34	北京市	29	—	2019-12-11	优
35	北京市	129	细颗粒物(PM2.5)	2019-12-10	轻度污染
36	北京市	233	细颗粒物(PM2.5)	2019-12-09	重度污染
37	北京市	189	细颗粒物(PM2.5)	2019-12-08	中度污染
38	北京市	78	二氧化氮	2019-12-07	良
39	北京市	73	二氧化氮	2019-12-06	良
40	北京市	48	—	2019-12-05	优
41	北京市	43	—	2019-12-04	优
42	北京市	49	—	2019-12-03	优
43	北京市	32	—	2019-12-02	优
44	北京市	30	—	2019-12-01	优
45	北京市	72	细颗粒物(PM2.5)	2019-11-30	良
46	北京市	80	二氧化氮	2019-11-29	良
47	北京市	75	二氧化氮	2019-11-28	良
48	北京市	34	—	2019-11-27	优
49	北京市	73	二氧化氮	2019-11-26	良
50	北京市	42	—	2019-11-25	优
51	北京市	30	—	2019-11-24	优
52	北京市	175	细颗粒物(PM2.5)	2019-11-23	中度污染
53	北京市	183	细颗粒物(PM2.5)	2019-11-22	中度污染
54	北京市	120	细颗粒物(PM2.5)	2019-11-21	轻度污染
55	北京市	87	"二氧化氮,颗粒物(PM10)"	2019-11-20	良
56	北京市	56	颗粒物(PM10)	2019-11-19	良
57	北京市	75	颗粒物(PM10)	2019-11-18	良
58	北京市	122	颗粒物(PM10)	2019-11-17	轻度污染
59	北京市	67	细颗粒物(PM2.5)	2019-11-16	良
60	北京市	65	二氧化氮	2019-11-15	良
61	北京市	64	二氧化氮	2019-11-14	良
62	北京市	55	颗粒物(PM10)	2019-11-13	良
63	北京市	92	二氧化氮	2019-11-12	良
64	北京市	54	二氧化氮	2019-11-11	良
65	北京市	72	颗粒物(PM10)	2019-11-10	良
66	北京市	112	细颗粒物(PM2.5)	2019-11-09	轻度污染
67	北京市	70	二氧化氮	2019-11-08	良
68	北京市	49	—	2019-11-07	优
69	北京市	75	二氧化氮	2019-11-06	良
70	北京市	60	细颗粒物(PM2.5)	2019-11-05	良
71	北京市	69	细颗粒物(PM2.5)	2019-11-04	良
72	北京市	48	—	2019-11-03	优
73	北京市	64	二氧化氮	2019-11-02	良
74	北京市	64	二氧化氮	2019-11-01	良
75	北京市	74	二氧化氮	2019-10-31	良
76	北京市	93	二氧化氮	2019-10-30	良
77	北京市	68	"二氧化氮,颗粒物(PM10)"	2019-10-29	良
78	北京市	113	颗粒物(PM10)	2019-10-28	轻度污染
79	北京市	73	"二氧化氮,细颗粒物(PM2.5)"	2019-10-27	良
80	北京市	59	二氧化氮	2019-10-26	良
81	北京市	30	—	2019-10-25	优
82	北京市	90	细颗粒物(PM2.5)	2019-10-24	良
83	北京市	104	细颗粒物(PM2.5)	2019-10-23	轻度污染
84	北京市	75	二氧化氮	2019-10-22	良
85	北京市	55	二氧化氮	2019-10-21	良
86	北京市	105	细颗粒物(PM2.5)	2019-10-20	轻度污染
87	北京市	163	细颗粒物(PM2.5)	2019-10-19	中度污染
88	北京市	82	细颗粒物(PM2.5)	2019-10-18	良
89	北京市	74	细颗粒物(PM2.5)	2019-10-17	良
90	北京市	58	二氧化氮	2019-10-16	良
91	北京市	49	—	2019-10-15	优
92	北京市	34	—	2019-10-14	优
93	北京市	55	二氧化氮	2019-10-13	良
94	北京市	72	二氧化氮	2019-10-12	良
95	北京市	59	细颗粒物(PM2.5)	2019-10-11	良
96	北京市	67	细颗粒物(PM2.5)	2019-10-10	良
97	北京市	55	二氧化氮	2019-10-09	良
98	北京市	29	—	2019-10-08	优
99	北京市	54	细颗粒物(PM2.5)	2019-10-07	良
100	北京市	47	—	2019-10-06	优
101	北京市	23	—	2019-10-05	优
102	北京市	24	—	2019-10-04	优
103	北京市	94	臭氧8小时	2019-10-03	良
104	北京市	70	细颗粒物(PM2.5)	2019-10-02	良
105	北京市	70	细颗粒物(PM2.5)	2019-10-01	良
106	北京市	98	臭氧8小时	2019-09-30	良
107	北京市	137	臭氧8小时	2019-09-29	轻度污染
108	北京市	127	臭氧8小时	2019-09-28	轻度污染
109	北京市	95	臭氧8小时	2019-09-27	良
110	北京市	127	臭氧8小时	2019-09-26	轻度污染
111	北京市	100	臭氧8小时	2019-09-25	良
112	北京市	61	臭氧8小时	2019-09-24	良
113	北京市	51	臭氧8小时	2019-09-23	良
114	北京市	119	臭氧8小时	2019-09-22	轻度污染
115	北京市	120	臭氧8小时	2019-09-21	轻度污染
116	北京市	74	臭氧8小时	2019-09-20	良
117	北京市	56	颗粒物(PM10)	2019-09-19	良
118	北京市	41	—	2019-09-18	优
119	北京市	83	臭氧8小时	2019-09-17	良
120	北京市	61	臭氧8小时	2019-09-16	良
121	北京市	68	臭氧8小时	2019-09-15	良
122	北京市	50	—	2019-09-14	优
123	北京市	35	—	2019-09-13	优
124	北京市	38	—	2019-09-12	优
125	北京市	40	—	2019-09-11	优
126	北京市	33	—	2019-09-10	优
127	北京市	147	臭氧8小时	2019-09-09	轻度污染
128	北京市	127	臭氧8小时	2019-09-08	轻度污染
129	北京市	150	臭氧8小时	2019-09-07	轻度污染
130	北京市	178	臭氧8小时	2019-09-06	中度污染
131	北京市	149	臭氧8小时	2019-09-05	轻度污染
132	北京市	143	臭氧8小时	2019-09-04	轻度污染
133	北京市	178	臭氧8小时	2019-09-03	中度污染
134	北京市	128	臭氧8小时	2019-09-02	轻度污染
135	北京市	100	臭氧8小时	2019-09-01	良
136	北京市	86	臭氧8小时	2019-08-31	良
137	北京市	45	—	2019-08-30	优
138	北京市	36	—	2019-08-29	优
139	北京市	34	—	2019-08-28	优
140	北京市	46	—	2019-08-27	优
141	北京市	103	细颗粒物(PM2.5)	2019-08-26	轻度污染
142	北京市	94	臭氧8小时	2019-08-25	良
143	北京市	100	臭氧8小时	2019-08-24	良
144	北京市	43	—	2019-08-23	优
145	北京市	43	—	2019-08-22	优
146	北京市	46	—	2019-08-21	优
147	北京市	70	细颗粒物(PM2.5)	2019-08-20	良
148	北京市	132	臭氧8小时	2019-08-19	轻度污染
149	北京市	86	臭氧8小时	2019-08-18	良
150	北京市	39	—	2019-08-17	优
151	北京市	39	—	2019-08-16	优
152	北京市	117	臭氧8小时	2019-08-15	轻度污染
153	北京市	44	—	2019-08-14	优
154	北京市	39	—	2019-08-13	优
155	北京市	39	—	2019-08-12	优
156	北京市	28	—	2019-08-11	优
157	北京市	61	臭氧8小时	2019-08-10	良
158	北京市	75	臭氧8小时	2019-08-09	良
159	北京市	123	臭氧8小时	2019-08-08	轻度污染
160	北京市	96	臭氧8小时	2019-08-07	良
161	北京市	91	臭氧8小时	2019-08-06	良
162	北京市	51	臭氧8小时	2019-08-05	良
163	北京市	65	臭氧8小时	2019-08-04	良
164	北京市	117	臭氧8小时	2019-08-03	轻度污染
165	北京市	83	臭氧8小时	2019-08-02	良
166	北京市	150	臭氧8小时	2019-08-01	轻度污染
167	北京市	142	臭氧8小时	2019-07-31	轻度污染
168	北京市	114	臭氧8小时	2019-07-30	轻度污染
169	北京市	43	—	2019-07-29	优
170	北京市	113	臭氧8小时	2019-07-28	轻度污染
171	北京市	167	臭氧8小时	2019-07-27	中度污染
172	北京市	167	臭氧8小时	2019-07-26	中度污染
173	北京市	130	臭氧8小时	2019-07-25	轻度污染
174	北京市	109	臭氧8小时	2019-07-24	轻度污染
175	北京市	105	臭氧8小时	2019-07-23	轻度污染
176	北京市	104	细颗粒物(PM2.5)	2019-07-22	轻度污染
177	北京市	146	臭氧8小时	2019-07-21	轻度污染
178	北京市	80	细颗粒物(PM2.5)	2019-07-20	良
179	北京市	77	细颗粒物(PM2.5)	2019-07-19	良
180	北京市	130	臭氧8小时	2019-07-18	轻度污染
181	北京市	72	细颗粒物(PM2.5)	2019-07-17	良
182	北京市	101	臭氧8小时	2019-07-16	轻度污染
183	北京市	162	臭氧8小时	2019-07-15	中度污染
184	北京市	117	臭氧8小时	2019-07-14	轻度污染
185	北京市	151	臭氧8小时	2019-07-13	中度污染
186	北京市	144	臭氧8小时	2019-07-12	轻度污染
187	北京市	96	臭氧8小时	2019-07-11	良
188	北京市	90	臭氧8小时	2019-07-10	良
189	北京市	50	—	2019-07-09	优
190	北京市	100	臭氧8小时	2019-07-08	良
191	北京市	64	臭氧8小时	2019-07-07	良
192	北京市	33	—	2019-07-06	优
193	北京市	60	臭氧8小时	2019-07-05	良
194	北京市	173	臭氧8小时	2019-07-04	中度污染
195	北京市	119	臭氧8小时	2019-07-03	轻度污染
196	北京市	110	臭氧8小时	2019-07-02	轻度污染
197	北京市	67	臭氧8小时	2019-07-01	良
198	北京市	47	—	2019-06-30	优
199	北京市	55	臭氧8小时	2019-06-29	良
200	北京市	120	臭氧8小时	2019-06-28	轻度污染
201	北京市	170	臭氧8小时	2019-06-27	中度污染
202	北京市	188	臭氧8小时	2019-06-26	中度污染
203	北京市	187	臭氧8小时	2019-06-25	中度污染
204	北京市	166	臭氧8小时	2019-06-24	中度污染
205	北京市	193	臭氧8小时	2019-06-23	中度污染
206	北京市	117	臭氧8小时	2019-06-22	轻度污染
207	北京市	101	臭氧8小时	2019-06-21	轻度污染
208	北京市	179	臭氧8小时	2019-06-20	中度污染
209	北京市	154	臭氧8小时	2019-06-19	中度污染
210	北京市	186	臭氧8小时	2019-06-18	中度污染
211	北京市	97	臭氧8小时	2019-06-17	良
212	北京市	36	—	2019-06-16	优
213	北京市	123	臭氧8小时	2019-06-15	轻度污染
214	北京市	87	臭氧8小时	2019-06-14	良
215	北京市	127	臭氧8小时	2019-06-13	轻度污染
216	北京市	156	臭氧8小时	2019-06-12	中度污染
217	北京市	175	臭氧8小时	2019-06-11	中度污染
218	北京市	97	臭氧8小时	2019-06-10	良
219	北京市	49	—	2019-06-09	优
220	北京市	80	臭氧8小时	2019-06-08	良
221	北京市	117	臭氧8小时	2019-06-07	轻度污染
222	北京市	73	细颗粒物(PM2.5)	2019-06-06	良
223	北京市	75	臭氧8小时	2019-06-05	良
224	北京市	98	臭氧8小时	2019-06-04	良
225	北京市	124	臭氧8小时	2019-06-03	轻度污染
226	北京市	141	臭氧8小时	2019-06-02	轻度污染
227	北京市	104	臭氧8小时	2019-06-01	轻度污染
228	北京市	60	臭氧8小时	2019-05-31	良
229	北京市	61	臭氧8小时	2019-05-30	良
230	北京市	144	臭氧8小时	2019-05-29	轻度污染
231	北京市	80	臭氧8小时	2019-05-28	良
232	北京市	48	—	2019-05-27	优
233	北京市	64	颗粒物(PM10)	2019-05-26	良
234	北京市	175	臭氧8小时	2019-05-25	中度污染
235	北京市	130	臭氧8小时	2019-05-24	轻度污染
236	北京市	195	臭氧8小时	2019-05-23	中度污染
237	北京市	94	臭氧8小时	2019-05-22	良
238	北京市	61	臭氧8小时	2019-05-21	良
239	北京市	47	—	2019-05-20	优
240	北京市	58	颗粒物(PM10)	2019-05-19	良
241	北京市	54	细颗粒物(PM2.5)	2019-05-18	良
242	北京市	112	臭氧8小时	2019-05-17	轻度污染
243	北京市	116	臭氧8小时	2019-05-16	轻度污染
244	北京市	134	臭氧8小时	2019-05-15	轻度污染
245	北京市	101	臭氧8小时	2019-05-14	轻度污染
246	北京市	60	颗粒物(PM10)	2019-05-13	良
247	北京市	117	细颗粒物(PM2.5)	2019-05-12	轻度污染
248	北京市	138	臭氧8小时	2019-05-11	轻度污染
249	北京市	124	臭氧8小时	2019-05-10	轻度污染
250	北京市	81	臭氧8小时	2019-05-09	良
251	北京市	69	颗粒物(PM10)	2019-05-08	良
252	北京市	65	臭氧8小时	2019-05-07	良
253	北京市	56	臭氧8小时	2019-05-06	良
254	北京市	52	颗粒物(PM10)	2019-05-05	良
255	北京市	126	臭氧8小时	2019-05-04	轻度污染
256	北京市	108	臭氧8小时	2019-05-03	轻度污染
257	北京市	85	臭氧8小时	2019-05-02	良
258	北京市	60	臭氧8小时	2019-05-01	良
259	北京市	74	颗粒物(PM10)	2019-04-30	良
260	北京市	139	细颗粒物(PM2.5)	2019-04-29	轻度污染
261	北京市	65	细颗粒物(PM2.5)	2019-04-28	良
262	北京市	54	细颗粒物(PM2.5)	2019-04-27	良
263	北京市	60	臭氧8小时	2019-04-26	良
264	北京市	49	—	2019-04-25	优
265	北京市	60	细颗粒物(PM2.5)	2019-04-24	良
266	北京市	124	细颗粒物(PM2.5)	2019-04-23	轻度污染
267	北京市	126	臭氧8小时	2019-04-22	轻度污染
268	北京市	112	颗粒物(PM10)	2019-04-21	轻度污染
269	北京市	57	细颗粒物(PM2.5)	2019-04-20	良
270	北京市	61	颗粒物(PM10)	2019-04-19	良
271	北京市	107	颗粒物(PM10)	2019-04-18	轻度污染
272	北京市	138	细颗粒物(PM2.5)	2019-04-17	轻度污染
273	北京市	101	臭氧8小时	2019-04-16	轻度污染
274	北京市	74	颗粒物(PM10)	2019-04-15	良
275	北京市	57	颗粒物(PM10)	2019-04-14	良
276	北京市	109	细颗粒物(PM2.5)	2019-04-13	轻度污染
277	北京市	85	细颗粒物(PM2.5)	2019-04-12	良
278	北京市	65	细颗粒物(PM2.5)	2019-04-11	良
279	北京市	48	—	2019-04-10	优
280	北京市	39	—	2019-04-09	优
281	北京市	61	颗粒物(PM10)	2019-04-08	良
282	北京市	75	颗粒物(PM10)	2019-04-07	良
283	北京市	131	颗粒物(PM10)	2019-04-06	轻度污染
284	北京市	171	颗粒物(PM10)	2019-04-05	中度污染
285	北京市	90	细颗粒物(PM2.5)	2019-04-04	良
286	北京市	78	细颗粒物(PM2.5)	2019-04-03	良
287	北京市	58	颗粒物(PM10)	2019-04-02	良
288	北京市	45	—	2019-04-01	优
289	北京市	42	—	2019-03-31	优
290	北京市	40	—	2019-03-30	优
291	北京市	71	颗粒物(PM10)	2019-03-29	良
292	北京市	58	颗粒物(PM10)	2019-03-28	良
293	北京市	91	颗粒物(PM10)	2019-03-27	良
294	北京市	85	颗粒物(PM10)	2019-03-26	良
295	北京市	56	颗粒物(PM10)	2019-03-25	良
296	北京市	69	颗粒物(PM10)	2019-03-24	良
297	北京市	41	—	2019-03-23	优
298	北京市	41	—	2019-03-22	优
299	北京市	40	—	2019-03-21	优
300	北京市	85	细颗粒物(PM2.5)	2019-03-20	良
301	北京市	163	细颗粒物(PM2.5)	2019-03-19	中度污染
302	北京市	134	细颗粒物(PM2.5)	2019-03-18	轻度污染
303	北京市	74	颗粒物(PM10)	2019-03-17	良
304	北京市	56	颗粒物(PM10)	2019-03-16	良
305	北京市	48	—	2019-03-15	优
306	北京市	43	—	2019-03-14	优
307	北京市	39	—	2019-03-13	优
308	北京市	39	—	2019-03-12	优
309	北京市	41	—	2019-03-11	优
310	北京市	144	细颗粒物(PM2.5)	2019-03-10	轻度污染
311	北京市	113	细颗粒物(PM2.5)	2019-03-09	轻度污染
312	北京市	79	细颗粒物(PM2.5)	2019-03-08	良
313	北京市	48	—	2019-03-07	优
314	北京市	42	—	2019-03-06	优
315	北京市	114	细颗粒物(PM2.5)	2019-03-05	轻度污染
316	北京市	143	细颗粒物(PM2.5)	2019-03-04	轻度污染
317	北京市	213	细颗粒物(PM2.5)	2019-03-03	重度污染
318	北京市	234	细颗粒物(PM2.5)	2019-03-02	重度污染
319	北京市	158	细颗粒物(PM2.5)	2019-03-01	中度污染
320	北京市	109	细颗粒物(PM2.5)	2019-02-28	轻度污染
321	北京市	120	细颗粒物(PM2.5)	2019-02-27	轻度污染
322	北京市	73	二氧化氮	2019-02-26	良
323	北京市	70	细颗粒物(PM2.5)	2019-02-25	良
324	北京市	104	细颗粒物(PM2.5)	2019-02-24	轻度污染
325	北京市	180	细颗粒物(PM2.5)	2019-02-23	中度污染
326	北京市	132	细颗粒物(PM2.5)	2019-02-22	轻度污染
327	北京市	129	细颗粒物(PM2.5)	2019-02-21	轻度污染
328	北京市	64	细颗粒物(PM2.5)	2019-02-20	良
329	北京市	118	细颗粒物(PM2.5)	2019-02-19	轻度污染
330	北京市	59	二氧化氮	2019-02-18	良
331	北京市	36	—	2019-02-17	优
332	北京市	38	—	2019-02-16	优
333	北京市	35	—	2019-02-15	优
334	北京市	72	细颗粒物(PM2.5)	2019-02-14	良
335	北京市	38	—	2019-02-13	优
336	北京市	52	颗粒物(PM10)	2019-02-12	良
337	北京市	51	颗粒物(PM10)	2019-02-11	良
338	北京市	39	—	2019-02-10	优
339	北京市	32	—	2019-02-09	优
340	北京市	46	—	2019-02-08	优
341	北京市	35	—	2019-02-07	优
342	北京市	139	颗粒物(PM10)	2019-02-05	轻度污染
343	北京市	78	颗粒物(PM10)	2019-02-04	良
344	北京市	104	颗粒物(PM10)	2019-02-03	轻度污染
345	北京市	142	细颗粒物(PM2.5)	2019-02-02	轻度污染
346	北京市	68	颗粒物(PM10)	2019-02-01	良
347	北京市	30	—	2019-01-31	优
348	北京市	63	颗粒物(PM10)	2019-01-30	良
349	北京市	139	细颗粒物(PM2.5)	2019-01-29	轻度污染
350	北京市	56	颗粒物(PM10)	2019-01-28	良
351	北京市	76	颗粒物(PM10)	2019-01-27	良
352	北京市	44	—	2019-01-26	优
353	北京市	32	—	2019-01-25	优
354	北京市	79	细颗粒物(PM2.5)	2019-01-24	良
355	北京市	60	二氧化氮	2019-01-23	良
356	北京市	64	二氧化氮	2019-01-22	良
357	北京市	57	二氧化氮	2019-01-21	良
358	北京市	34	—	2019-01-20	优
359	北京市	33	—	2019-01-19	优
360	北京市	94	二氧化氮	2019-01-18	良
361	北京市	78	二氧化氮	2019-01-17	良
362	北京市	73	二氧化氮	2019-01-16	良
363	北京市	54	颗粒物(PM10)	2019-01-15	良
364	北京市	137	细颗粒物(PM2.5)	2019-01-14	轻度污染
365	北京市	169	细颗粒物(PM2.5)	2019-01-13	中度污染
366	北京市	267	细颗粒物(PM2.5)	2019-01-12	重度污染
367	北京市	135	细颗粒物(PM2.5)	2019-01-11	轻度污染
368	北京市	100	细颗粒物(PM2.5)	2019-01-10	良
369	北京市	74	二氧化氮	2019-01-09	良
370	北京市	35	—	2019-01-08	优
371	北京市	55	二氧化氮	2019-01-07	良
372	北京市	88	二氧化氮	2019-01-06	良
373	北京市	47	—	2019-01-05	优
374	北京市	40	—	2019-01-04	优
375	北京市	162	细颗粒物(PM2.5)	2019-01-03	中度污染
376	北京市	78	细颗粒物(PM2.5)	2019-01-02	良
377	北京市	49	—	2019-01-01	优
