编号	城市	AQI指数	首要污染物	日期	空气质量级别
1	上海市	155	细颗粒物(PM2.5)	2020-01-13	中度污染
2	上海市	147	细颗粒物(PM2.5)	2020-01-12	轻度污染
3	上海市	49	—	2020-01-11	优
4	上海市	45	—	2020-01-10	优
5	上海市	58	二氧化氮	2020-01-09	良
6	上海市	59	细颗粒物(PM2.5)	2020-01-08	良
7	上海市	67	二氧化氮	2020-01-07	良
8	上海市	59	二氧化氮	2020-01-06	良
9	上海市	63	二氧化氮	2020-01-05	良
10	上海市	88	细颗粒物(PM2.5)	2020-01-04	良
11	上海市	72	二氧化氮	2020-01-03	良
12	上海市	82	二氧化氮	2020-01-02	良
13	上海市	54	二氧化氮	2020-01-01	良
14	上海市	34	—	2019-12-31	优
15	上海市	102	细颗粒物(PM2.5)	2019-12-30	轻度污染
16	上海市	80	二氧化氮	2019-12-29	良
17	上海市	100	细颗粒物(PM2.5)	2019-12-28	良
18	上海市	98	细颗粒物(PM2.5)	2019-12-27	良
19	上海市	57	二氧化氮	2019-12-26	良
20	上海市	83	二氧化氮	2019-12-25	良
21	上海市	54	二氧化氮	2019-12-24	良
22	上海市	64	二氧化氮	2019-12-23	良
23	上海市	57	二氧化氮	2019-12-22	良
24	上海市	64	二氧化氮	2019-12-21	良
25	上海市	65	二氧化氮	2019-12-20	良
26	上海市	57	二氧化氮	2019-12-19	良
27	上海市	43	—	2019-12-18	优
28	上海市	103	细颗粒物(PM2.5)	2019-12-17	轻度污染
29	上海市	75	二氧化氮	2019-12-16	良
30	上海市	54	二氧化氮	2019-12-15	良
31	上海市	83	二氧化氮	2019-12-14	良
32	上海市	93	二氧化氮	2019-12-13	良
33	上海市	74	二氧化氮	2019-12-12	良
34	上海市	148	细颗粒物(PM2.5)	2019-12-11	轻度污染
35	上海市	116	二氧化氮	2019-12-10	轻度污染
36	上海市	115	细颗粒物(PM2.5)	2019-12-09	轻度污染
37	上海市	108	二氧化氮	2019-12-08	轻度污染
38	上海市	80	二氧化氮	2019-12-07	良
39	上海市	40	—	2019-12-06	优
40	上海市	78	二氧化氮	2019-12-05	良
41	上海市	139	细颗粒物(PM2.5)	2019-12-04	轻度污染
42	上海市	112	细颗粒物(PM2.5)	2019-12-03	轻度污染
43	上海市	93	细颗粒物(PM2.5)	2019-12-02	良
44	上海市	54	二氧化氮	2019-12-01	良
45	上海市	73	二氧化氮	2019-11-30	良
46	上海市	54	二氧化氮	2019-11-29	良
47	上海市	38	—	2019-11-28	优
48	上海市	49	—	2019-11-27	优
49	上海市	53	二氧化氮	2019-11-26	良
50	上海市	34	—	2019-11-25	优
51	上海市	54	二氧化氮	2019-11-24	良
52	上海市	73	二氧化氮	2019-11-23	良
53	上海市	80	二氧化氮	2019-11-22	良
54	上海市	69	二氧化氮	2019-11-21	良
55	上海市	65	颗粒物(PM10)	2019-11-20	良
56	上海市	93	颗粒物(PM10)	2019-11-19	良
57	上海市	87	颗粒物(PM10)	2019-11-18	良
58	上海市	67	二氧化氮	2019-11-17	良
59	上海市	60	二氧化氮	2019-11-16	良
60	上海市	62	二氧化氮	2019-11-15	良
61	上海市	68	颗粒物(PM10)	2019-11-14	良
62	上海市	75	细颗粒物(PM2.5)	2019-11-13	良
63	上海市	74	二氧化氮	2019-11-12	良
64	上海市	98	二氧化氮	2019-11-11	良
65	上海市	76	臭氧8小时	2019-11-10	良
66	上海市	54	二氧化氮	2019-11-09	良
67	上海市	45	—	2019-11-08	优
68	上海市	62	臭氧8小时	2019-11-07	良
69	上海市	58	二氧化氮	2019-11-06	良
70	上海市	50	—	2019-11-05	优
71	上海市	60	臭氧8小时	2019-11-04	良
72	上海市	55	臭氧8小时	2019-11-03	良
73	上海市	110	臭氧8小时	2019-11-02	轻度污染
74	上海市	87	二氧化氮	2019-11-01	良
