编号	城市	AQI指数	首要污染物	日期	空气质量级别
1	武汉市	68	细颗粒物(PM2.5)	2020-01-13	良
2	武汉市	84	细颗粒物(PM2.5)	2020-01-12	良
3	武汉市	55	细颗粒物(PM2.5)	2020-01-11	良
4	武汉市	42	—	2020-01-10	优
5	武汉市	42	—	2020-01-09	优
6	武汉市	54	细颗粒物(PM2.5)	2020-01-08	良
7	武汉市	47	—	2020-01-07	优
8	武汉市	55	二氧化氮	2020-01-06	良
9	武汉市	80	细颗粒物(PM2.5)	2020-01-05	良
10	武汉市	142	细颗粒物(PM2.5)	2020-01-04	轻度污染
11	武汉市	130	细颗粒物(PM2.5)	2020-01-03	轻度污染
12	武汉市	105	细颗粒物(PM2.5)	2020-01-02	轻度污染
13	武汉市	73	二氧化氮	        2020-01-01	良
14	武汉市	97	细颗粒物(PM2.5)	2019-12-31	良
15	武汉市	119	细颗粒物(PM2.5)	2019-12-30	轻度污染
16	武汉市	72	细颗粒物(PM2.5)	2019-12-29	良
17	武汉市	105	细颗粒物(PM2.5)	2019-12-28	轻度污染
18	武汉市	95	细颗粒物(PM2.5)	2019-12-27	良
19	武汉市	100	细颗粒物(PM2.5)	2019-12-26	良
20	武汉市	54	细颗粒物(PM2.5)	2019-12-25	良
21	武汉市	102	细颗粒物(PM2.5)	2019-12-24	轻度污染
22	武汉市	60	细颗粒物(PM2.5)	2019-12-23	良
23	武汉市	64	细颗粒物(PM2.5)	2019-12-22	良
24	武汉市	70	二氧化氮	 2019-12-21	良
25	武汉市	64	"二氧化氮,细颗粒物(PM2.5)"	2019-12-20	良
26	武汉市	53	二氧化氮	 2019-12-19	良
27	武汉市	85	细颗粒物(PM2.5)	2019-12-18	良
28	武汉市	69	细颗粒物(PM2.5)	2019-12-17	良
29	武汉市	74	细颗粒物(PM2.5)	2019-12-16	良
30	武汉市	130	细颗粒物(PM2.5)	2019-12-15	轻度污染
31	武汉市	180	细颗粒物(PM2.5)	2019-12-14	中度污染
32	武汉市	137	细颗粒物(PM2.5)	2019-12-13	轻度污染
33	武汉市	90	二氧化氮 	2019-12-12	良
34	武汉市	103	二氧化氮	 2019-12-11	轻度污染
35	武汉市	115	二氧化氮	 2019-12-10	轻度污染
36	武汉市	108	二氧化氮	 2019-12-09	轻度污染
37	武汉市	104	二氧化氮	 2019-12-08	轻度污染
38	武汉市	99	二氧化氮	 2019-12-07	良
39	武汉市	133	细颗粒物(PM2.5)	2019-12-06	轻度污染
40	武汉市	79	二氧化氮	 2019-12-05	良
41	武汉市	107	二氧化氮 	2019-12-04	轻度污染
42	武汉市	105	二氧化氮	 2019-12-03	轻度污染
43	武汉市	84	细颗粒物(PM2.5)	2019-12-02	良
44	武汉市	93	细颗粒物(PM2.5)	2019-12-01	良
45	武汉市	64	细颗粒物(PM2.5)	2019-11-30	良
46	武汉市	55	二氧化氮	 2019-11-29	良
47	武汉市	89	细颗粒物(PM2.5)	2019-11-28	良
48	武汉市	34	—	2019-11-27	优
49	武汉市	40	—	2019-11-26	优
50	武汉市	27	—	2019-11-25	优
51	武汉市	114	细颗粒物(PM2.5)	2019-11-24	轻度污染
52	武汉市	109	二氧化氮	 2019-11-23	轻度污染
53	武汉市	106	二氧化氮 	2019-11-22	轻度污染
54	武汉市	101	二氧化氮	 2019-11-21	轻度污染
55	武汉市	80	二氧化氮	 2019-11-20	良
56	武汉市	73	颗粒物(PM10)	2019-11-19	良
57	武汉市	60	颗粒物(PM10)	2019-11-18	良
58	武汉市	107	细颗粒物(PM2.5)	2019-11-17	轻度污染
59	武汉市	110	二氧化氮	 2019-11-16	轻度污染
60	武汉市	94	二氧化氮	  2019-11-15	良
61	武汉市	74	二氧化氮 2019-11-14	良
62	武汉市	54	"二氧化氮,颗粒物(PM10)"	2019-11-13	良
63	武汉市	64	"二氧化氮,颗粒物(PM10),细颗粒物(PM2.5)"	2019-11-12	良
64	武汉市	101	二氧化氮	 2019-11-11	轻度污染
65	武汉市	92	二氧化氮	 2019-11-10	良
66	武汉市	102	二氧化氮	 2019-11-09	轻度污染
